İngilizce,Türkçe,Okunuş,Seviye,Kategori
replace,"değiştirmek, yerine koymak",rip-LEYS,B1,Fiiller — iş & iletişim
reply,cevap vermek,rip-LAY,A2,Fiiller — iş & iletişim
report,"rapor etmek, bildirmek",ri-PORT,B1,Fiiller — iş & iletişim
request,talep etmek,ri-KWEST,B1,Fiiller — iş & iletişim
require,gerektirmek,ri-KWA-yır,B2,Fiiller — iş & iletişim
respond,yanıt vermek,ris-POND,B1,Fiiller — iş & iletişim
rest,dinlenmek,rest,A2,Fiiller — iş & iletişim
return,"dönmek, iade etmek",ri-TÖRN,A2,Fiiller — iş & iletişim
review,gözden geçirmek,ri-VYUU,B1,Fiiller — iş & iletişim
rise,yükselmek,rayz,B1,Fiiller — iş & iletişim
run,koşmak; işletmek,ran,A2,Fiiller — iş & iletişim
save,kurtarmak; biriktirmek,seyv,A2,Fiiller — iş & iletişim
search,aramak,sörç,A2,Fiiller — iş & iletişim
seem,görünmek (gibi gelmek),siim,B1,Fiiller — iş & iletişim
sell,satmak,sel,A2,Fiiller — iş & iletişim
send,göndermek,send,A2,Fiiller — iş & iletişim
separate,ayırmak,SE-pı-reyt,B1,Fiiller — iş & iletişim
serve,"hizmet etmek, servis yapmak",sörv,B1,Fiiller — iş & iletişim
set,"ayarlamak, kurmak",set,A2,Fiiller — iş & iletişim
settle,"yerleşmek, halletmek",SE-tıl,B2,Fiiller — iş & iletişim
share,paylaşmak,şeer,A2,Fiiller — iş & iletişim
shout,bağırmak,şaut,A2,Fiiller — iş & iletişim
show,göstermek,şou,A2,Fiiller — iş & iletişim
sign,imzalamak,sayn,A2,Fiiller — iş & iletişim
solve,çözmek,solv,B1,Fiiller — iş & iletişim
sound,kulağa … gelmek,saund,A2,Fiiller — iş & iletişim
speak,konuşmak,spiik,A2,Fiiller — iş & iletişim
spend,"harcamak, geçirmek",spend,A2,Fiiller — iş & iletişim
spread,"yaymak, yayılmak",spred,B2,Fiiller — iş & iletişim
stand,ayakta durmak,stend,A2,Fiiller — iş & iletişim
start,başlamak,start,A2,Fiiller — iş & iletişim
stay,kalmak,stey,A2,Fiiller — iş & iletişim
steal,çalmak,stiil,B1,Fiiller — iş & iletişim
stop,"durmak, durdurmak",stop,A2,Fiiller — iş & iletişim
store,depolamak,stor,B1,Fiiller — iş & iletişim
study,ders çalışmak,STA-di,A2,Fiiller — iş & iletişim
succeed,başarmak,sık-SİİD,B1,Fiiller — iş & iletişim
suffer,acı çekmek,SA-fır,B2,Fiiller — iş & iletişim
suggest,önermek,sıc-CEST,B1,Fiiller — iş & iletişim
supply,tedarik etmek,sıp-LAY,B2,Fiiller — iş & iletişim
support,desteklemek,sı-PORT,B1,Fiiller — iş & iletişim
suppose,"varsaymak, sanmak",sı-POUZ,B1,Fiiller — iş & iletişim
surprise,şaşırtmak,sır-PRAYZ,A2,Fiiller — iş & iletişim
survive,hayatta kalmak,sır-VAYV,B1,Fiiller — iş & iletişim
take,almak,teyk,A2,Fiiller — iş & iletişim
talk,konuşmak,tok,A2,Fiiller — iş & iletişim
teach,öğretmek,tiiç,A2,Fiiller — iş & iletişim
tell,"söylemek, anlatmak",tel,A2,Fiiller — iş & iletişim
think,düşünmek,think,A2,Fiiller — iş & iletişim
throw,"atmak, fırlatmak",throu,A2,Fiiller — iş & iletişim
touch,dokunmak,taç,A2,Fiiller — iş & iletişim
train,"eğitmek, antrenman yapmak",treyn,B1,Fiiller — iş & iletişim
travel,seyahat etmek,TRE-vıl,A2,Fiiller — iş & iletişim
treat,davranmak; tedavi etmek,triit,B1,Fiiller — iş & iletişim
try,denemek,tray,A2,Fiiller — iş & iletişim
turn,"dönmek, çevirmek",törn,A2,Fiiller — iş & iletişim
understand,anlamak,an-dırs-TEND,A2,Fiiller — iş & iletişim
use,kullanmak,yuuz,A2,Fiiller — iş & iletişim
visit,ziyaret etmek,Vİ-zit,A2,Fiiller — iş & iletişim
wait,beklemek,weyt,A2,Fiiller — iş & iletişim
wake,uyanmak,weyk,A2,Fiiller — iş & iletişim
warn,uyarmak,worn,B1,Fiiller — iş & iletişim
waste,israf etmek,weyst,B1,Fiiller — iş & iletişim
wear,giymek,weer,A2,Fiiller — iş & iletişim
win,kazanmak (yarış),win,A2,Fiiller — iş & iletişim
wish,dilemek,wiş,A2,Fiiller — iş & iletişim
wonder,merak etmek,WAN-dır,B1,Fiiller — iş & iletişim
worry,endişelenmek,WA-ri,A2,Fiiller — iş & iletişim
able,"yapabilen, muktedir",EY-bıl,A2,Sıfatlar
accurate,"doğru, isabetli",E-kyu-rıt,B2,Sıfatlar
active,"aktif, faal",EK-tiv,A2,Sıfatlar
actual,"gerçek, asıl",EK-çu-ıl,B1,Sıfatlar
afraid,korkmuş,ıf-REYD,A2,Sıfatlar
alive,"hayatta, canlı",ı-LAYV,B1,Sıfatlar
ancient,"antik, çok eski",EYN-şınt,B1,Sıfatlar
angry,kızgın,ENG-ri,A2,Sıfatlar
annoying,sinir bozucu,ı-NOY-ing,B1,Sıfatlar
anxious,endişeli,ENK-şıs,B2,Sıfatlar
available,"mevcut, müsait",ı-VEY-lı-bıl,B1,Sıfatlar
awful,berbat,O-fıl,B1,Sıfatlar
basic,temel,BEY-sik,A2,Sıfatlar
boring,sıkıcı,BO-ring,A2,Sıfatlar
brave,cesur,breyv,B1,Sıfatlar
bright,parlak; zeki,brayt,B1,Sıfatlar
busy,meşgul,Bİ-zi,A2,Sıfatlar
calm,sakin,kaam,B1,Sıfatlar
careful,dikkatli,KEER-fıl,A2,Sıfatlar
cheap,ucuz,çiip,A2,Sıfatlar
clear,"net, açık",kliir,A2,Sıfatlar
clever,"zeki, akıllı",KLE-vır,A2,Sıfatlar
comfortable,rahat,KAM-fır-tı-bıl,A2,Sıfatlar
common,"yaygın, ortak",KO-mın,B1,Sıfatlar
complex,karmaşık,KOM-pleks,B2,Sıfatlar
confident,kendine güvenen,KON-fi-dınt,B1,Sıfatlar
confused,kafası karışmış,kın-FYUZD,B1,Sıfatlar
convenient,"elverişli, uygun",kın-Vİİ-ni-ınt,B2,Sıfatlar
correct,doğru,kı-REKT,A2,Sıfatlar
crazy,"deli, çılgın",KREY-zi,A2,Sıfatlar
crowded,kalabalık,KRAU-did,A2,Sıfatlar
curious,meraklı,KYU-ri-ıs,B1,Sıfatlar
current,"güncel, şu anki",KA-rınt,B1,Sıfatlar
dangerous,tehlikeli,DEYN-cı-rıs,A2,Sıfatlar
dark,karanlık,dark,A2,Sıfatlar
dead,ölü,ded,A2,Sıfatlar
deep,derin,diip,A2,Sıfatlar
delicious,lezzetli,di-Lİ-şıs,A2,Sıfatlar
different,farklı,Dİ-fı-rınt,A2,Sıfatlar
difficult,zor,Dİ-fi-kılt,A2,Sıfatlar
dirty,kirli,DÖR-ti,A2,Sıfatlar
disappointed,hayal kırıklığına uğramış,di-sı-POYN-tid,B1,Sıfatlar
easy,kolay,İİ-zi,A2,Sıfatlar
efficient,verimli,i-Fİ-şınt,B2,Sıfatlar
empty,boş,EMP-ti,A2,Sıfatlar
enough,yeterli,i-NAF,A2,Sıfatlar
excellent,mükemmel,EK-sı-lınt,A2,Sıfatlar
excited,heyecanlı,ik-SAY-tid,A2,Sıfatlar
expensive,pahalı,iks-PEN-siv,A2,Sıfatlar
fair,adil,feer,B1,Sıfatlar
familiar,tanıdık,fı-Mİ-li-ır,B1,Sıfatlar
famous,ünlü,FEY-mıs,A2,Sıfatlar
fast,hızlı,fast,A2,Sıfatlar
final,"son, nihai",FAY-nıl,B1,Sıfatlar
flexible,esnek,FLEK-sı-bıl,B2,Sıfatlar
foreign,yabancı,FO-rin,B1,Sıfatlar
free,özgür; bedava,frii,A2,Sıfatlar
fresh,taze,freş,A2,Sıfatlar
friendly,arkadaş canlısı,FREND-li,A2,Sıfatlar
full,dolu,ful,A2,Sıfatlar
funny,komik,FA-ni,A2,Sıfatlar
general,genel,CE-nı-rıl,B1,Sıfatlar
gentle,"nazik, yumuşak",CEN-tıl,B1,Sıfatlar
guilty,suçlu,GİL-ti,B2,Sıfatlar
healthy,sağlıklı,HEL-thi,A2,Sıfatlar
heavy,ağır,HE-vi,A2,Sıfatlar
honest,dürüst,O-nist,B1,Sıfatlar
huge,kocaman,hyuuc,B1,Sıfatlar
hungry,aç,HANG-ri,A2,Sıfatlar
important,önemli,im-POR-tınt,A2,Sıfatlar
impossible,imkânsız,im-PO-sı-bıl,A2,Sıfatlar
independent,bağımsız,in-di-PEN-dınt,B1,Sıfatlar
interesting,ilginç,İNT-rıs-ting,A2,Sıfatlar
international,uluslararası,in-tır-NE-şı-nıl,B1,Sıfatlar
keen,"istekli, hevesli",kiin,B2,Sıfatlar
kind,"nazik, iyi kalpli",kaynd,A2,Sıfatlar
lazy,tembel,LEY-zi,A2,Sıfatlar
light,hafif; aydınlık,layt,A2,Sıfatlar
likely,muhtemel,LAYK-li,B1,Sıfatlar
lonely,yalnız,LOUN-li,B1,Sıfatlar
loud,gürültülü,laud,A2,Sıfatlar
lucky,şanslı,LA-ki,A2,Sıfatlar
main,"ana, başlıca",meyn,A2,Sıfatlar
mental,zihinsel,MEN-tıl,B2,Sıfatlar
modern,modern,MO-dırn,A2,Sıfatlar
narrow,dar,NE-rou,B1,Sıfatlar
natural,doğal,NE-çı-rıl,B1,Sıfatlar
nervous,gergin,NÖR-vıs,B1,Sıfatlar
obvious,"apaçık, bariz",OB-vi-ıs,B2,Sıfatlar
official,resmî,ı-Fİ-şıl,B1,Sıfatlar
ordinary,sıradan,OR-dı-ne-ri,B2,Sıfatlar
patient,sabırlı,PEY-şınt,B1,Sıfatlar
perfect,mükemmel,PÖR-fikt,A2,Sıfatlar
polite,kibar,pı-LAYT,B1,Sıfatlar
poor,fakir; zayıf (kalite),puur,A2,Sıfatlar
popular,popüler,PO-pyu-lır,A2,Sıfatlar
powerful,güçlü,PAU-ır-fıl,B1,Sıfatlar
practical,"pratik, uygulanabilir",PREK-ti-kıl,B2,Sıfatlar
proud,gururlu,praud,B1,Sıfatlar
quiet,sessiz,KWA-yıt,A2,Sıfatlar
rare,nadir,reer,B1,Sıfatlar
real,gerçek,ri-ıl,A2,Sıfatlar
reasonable,makul,Rİİ-zı-nı-bıl,B2,Sıfatlar
recent,yakın zamandaki,Rİİ-sınt,B1,Sıfatlar
relevant,konuyla ilgili,RE-lı-vınt,B2,Sıfatlar
reliable,güvenilir,ri-LA-yı-bıl,B2,Sıfatlar
rich,zengin,riç,A2,Sıfatlar
safe,güvenli,seyf,A2,Sıfatlar
serious,ciddi,Sİ-ri-ıs,A2,Sıfatlar
sharp,keskin,şarp,B1,Sıfatlar
similar,benzer,Sİ-mı-lır,A2,Sıfatlar
simple,basit,SİM-pıl,A2,Sıfatlar
strange,tuhaf,streync,A2,Sıfatlar
strict,"katı, sıkı",strikt,B1,Sıfatlar
strong,güçlü,strong,A2,Sıfatlar
successful,başarılı,sık-SES-fıl,A2,Sıfatlar
sudden,ani,SA-dın,B1,Sıfatlar
suitable,uygun,SUU-tı-bıl,B2,Sıfatlar
terrible,korkunç,TE-rı-bıl,A2,Sıfatlar
tiny,minicik,TAY-ni,B1,Sıfatlar
tired,yorgun,TA-yırd,A2,Sıfatlar
typical,tipik,Tİ-pi-kıl,B1,Sıfatlar
useful,faydalı,YUS-fıl,A2,Sıfatlar
usual,her zamanki,YU-ju-ıl,A2,Sıfatlar
valuable,değerli,VEL-yu-bıl,B2,Sıfatlar
weak,zayıf,wiik,A2,Sıfatlar
wide,geniş,wayd,A2,Sıfatlar
worth,"değer, değerinde",wörth,B1,Sıfatlar
wrong,yanlış,rong,A2,Sıfatlar
about,hakkında; yaklaşık,ı-BAUT,A2,"Zarflar, bağlaçlar & zaman"
above,"yukarıda, üstünde",ı-BAV,A2,"Zarflar, bağlaçlar & zaman"
abroad,yurt dışında,ıb-ROD,B1,"Zarflar, bağlaçlar & zaman"
absolutely,kesinlikle,EB-sı-lut-li,B1,"Zarflar, bağlaçlar & zaman"
actually,aslında,EK-çu-ı-li,A2,"Zarflar, bağlaçlar & zaman"
after,sonra,AF-tır,A2,"Zarflar, bağlaçlar & zaman"
afterwards,"sonradan, daha sonra",AF-tır-wırdz,B1,"Zarflar, bağlaçlar & zaman"
again,tekrar,ı-GEN,A2,"Zarflar, bağlaçlar & zaman"
against,karşı,ı-GENST,A2,"Zarflar, bağlaçlar & zaman"
ago,önce,ı-GOU,A2,"Zarflar, bağlaçlar & zaman"
almost,neredeyse,OL-moust,A2,"Zarflar, bağlaçlar & zaman"
alone,"yalnız, tek başına",ı-LOUN,A2,"Zarflar, bağlaçlar & zaman"
along,boyunca,ı-LONG,B1,"Zarflar, bağlaçlar & zaman"
already,zaten,ol-RE-di,A2,"Zarflar, bağlaçlar & zaman"
also,ayrıca,OL-sou,A2,"Zarflar, bağlaçlar & zaman"
although,-e rağmen,ol-DOU,B1,"Zarflar, bağlaçlar & zaman"
always,her zaman,OL-weyz,A2,"Zarflar, bağlaçlar & zaman"
anyway,her neyse,E-ni-wey,B1,"Zarflar, bağlaçlar & zaman"
apart,ayrı,ı-PART,B2,"Zarflar, bağlaçlar & zaman"
around,etrafında; civarında,ı-RAUND,A2,"Zarflar, bağlaçlar & zaman"
as soon as,-er ermez,ez SUUN ez,B1,"Zarflar, bağlaçlar & zaman"
at least,en azından,ıt LİİST,B1,"Zarflar, bağlaçlar & zaman"
barely,"ancak, neredeyse hiç",BEER-li,B2,"Zarflar, bağlaçlar & zaman"
because,çünkü,bi-KOZ,A2,"Zarflar, bağlaçlar & zaman"
before,önce,bi-FOR,A2,"Zarflar, bağlaçlar & zaman"
behind,arkasında,bi-HAYND,A2,"Zarflar, bağlaçlar & zaman"
below,aşağıda,bi-LOU,A2,"Zarflar, bağlaçlar & zaman"
besides,"ayrıca, bunun yanında",bi-SAYDZ,B2,"Zarflar, bağlaçlar & zaman"
between,arasında,bi-TWİİN,A2,"Zarflar, bağlaçlar & zaman"
both,her ikisi,bouth,A2,"Zarflar, bağlaçlar & zaman"
briefly,kısaca,BRİİF-li,B2,"Zarflar, bağlaçlar & zaman"
carefully,dikkatlice,KEER-fı-li,A2,"Zarflar, bağlaçlar & zaman"
certainly,kesinlikle,SÖR-tın-li,B1,"Zarflar, bağlaçlar & zaman"
clearly,açıkça,KLİİR-li,B1,"Zarflar, bağlaçlar & zaman"
completely,tamamen,kım-PLİİT-li,B1,"Zarflar, bağlaçlar & zaman"
constantly,sürekli,KONS-tınt-li,B2,"Zarflar, bağlaçlar & zaman"
currently,şu anda,KA-rınt-li,B1,"Zarflar, bağlaçlar & zaman"
daily,günlük,DEY-li,A2,"Zarflar, bağlaçlar & zaman"
despite,-e rağmen,dis-PAYT,B2,"Zarflar, bağlaçlar & zaman"
during,süresince,DYU-ring,A2,"Zarflar, bağlaçlar & zaman"
early,erken,ÖR-li,A2,"Zarflar, bağlaçlar & zaman"
easily,kolayca,İİ-zı-li,A2,"Zarflar, bağlaçlar & zaman"
either,ya … ya da; ikisinden biri,AY-dır,B1,"Zarflar, bağlaçlar & zaman"
else,başka,els,A2,"Zarflar, bağlaçlar & zaman"
especially,özellikle,is-PE-şı-li,B1,"Zarflar, bağlaçlar & zaman"
eventually,sonunda,i-VEN-çu-ı-li,B2,"Zarflar, bağlaçlar & zaman"
ever,"hiç, şimdiye kadar",E-vır,A2,"Zarflar, bağlaçlar & zaman"
exactly,tam olarak,ig-ZEKT-li,A2,"Zarflar, bağlaçlar & zaman"
finally,sonunda,FAY-nı-li,A2,"Zarflar, bağlaçlar & zaman"
fortunately,neyse ki,FOR-çı-nıt-li,B2,"Zarflar, bağlaçlar & zaman"
frequently,sıkça,FRİİ-kwınt-li,B2,"Zarflar, bağlaçlar & zaman"
hardly,neredeyse hiç,HARD-li,B2,"Zarflar, bağlaçlar & zaman"
however,"ancak, yine de",hau-E-vır,B1,"Zarflar, bağlaçlar & zaman"
immediately,hemen,i-Mİİ-di-ıt-li,B1,"Zarflar, bağlaçlar & zaman"
indeed,gerçekten de,in-DİİD,B2,"Zarflar, bağlaçlar & zaman"
inside,içeride,in-SAYD,A2,"Zarflar, bağlaçlar & zaman"
instead,onun yerine,ins-TED,B1,"Zarflar, bağlaçlar & zaman"
late,geç,leyt,A2,"Zarflar, bağlaçlar & zaman"
lately,son zamanlarda,LEYT-li,B1,"Zarflar, bağlaçlar & zaman"
later,daha sonra,LEY-tır,A2,"Zarflar, bağlaçlar & zaman"
mainly,çoğunlukla,MEYN-li,B1,"Zarflar, bağlaçlar & zaman"
maybe,belki,MEY-bi,A2,"Zarflar, bağlaçlar & zaman"
meanwhile,bu arada,MİİN-wayl,B2,"Zarflar, bağlaçlar & zaman"
mostly,çoğunlukla,MOUST-li,B1,"Zarflar, bağlaçlar & zaman"
nearly,neredeyse,NİİR-li,A2,"Zarflar, bağlaçlar & zaman"
never,asla,NE-vır,A2,"Zarflar, bağlaçlar & zaman"
nowadays,günümüzde,NAU-ı-deyz,B1,"Zarflar, bağlaçlar & zaman"
often,sık sık,O-fın,A2,"Zarflar, bağlaçlar & zaman"
otherwise,aksi takdirde,A-dır-wayz,B2,"Zarflar, bağlaçlar & zaman"
outside,dışarıda,aut-SAYD,A2,"Zarflar, bağlaçlar & zaman"
perhaps,belki,pır-HEPS,B1,"Zarflar, bağlaçlar & zaman"
probably,muhtemelen,PRO-bıb-li,A2,"Zarflar, bağlaçlar & zaman"
quickly,hızlıca,KWİK-li,A2,"Zarflar, bağlaçlar & zaman"
quite,oldukça,kwayt,A2,"Zarflar, bağlaçlar & zaman"
rarely,nadiren,REER-li,B1,"Zarflar, bağlaçlar & zaman"
rather,oldukça; daha ziyade,RA-dır,B1,"Zarflar, bağlaçlar & zaman"
really,gerçekten,Rİ-ı-li,A2,"Zarflar, bağlaçlar & zaman"
recently,yakınlarda,Rİİ-sınt-li,B1,"Zarflar, bağlaçlar & zaman"
